model,airport,bus,metro,metro_station,park,public_square,shopping_mall,street_pedestrian,street_traffic,tram,__macro__
xLSTM Balanced,53.10810810810811,60.23569023569023,35.319865319865315,37.407407407407405,79.42760942760943,26.9023569023569,54.44444444444444,25.791245791245792,73.13131313131314,35.810810810810814,48.15788515788516
xLSTM Inverted,53.14189189189189,61.91919191919192,41.043771043771045,35.79124579124579,71.07744107744108,26.734006734006734,53.63636363636364,21.44781144781145,79.6969696969697,50.13513513513514,49.46238283738283
Mamba (32-state),46.08108108108108,57.407407407407405,39.66329966329966,40.67340067340067,68.14814814814815,23.905723905723907,53.70370370370371,32.35690235690235,71.21212121212122,48.91891891891892,48.20707070707071
GRU Baseline,33.648648648648646,49.898989898989896,37.138047138047135,38.11447811447811,70.03367003367003,23.973063973063972,55.01683501683502,26.969696969696972,75.42087542087542,49.5945945945946,45.98088998088998
GRU (embed-34),38.85135135135135,56.0942760942761,33.03030303030303,43.063973063973066,77.54208754208754,28.350168350168346,54.34343434343434,33.43434343434343,71.14478114478115,57.635135135135144,49.34898534898535
